 ,Title,Ready,Count,Latest,Days Since,Style,Orig,,,,,,
,A Child is Born,3,11,3/27/2026,103,Latin,,,,,,,
,A Foggy Day (in London town),4,13,5/15/2026,54,Swing,,,,,,,
,A Lotus on Irish Streams,3,7,4/17/2026,82,Ballad,,,,,,,
,Afro Blue,5,18,3/6/2026,124,Latin,,,,,,,
,Agua de Beber,3,8,11/7/2025,243,Latin,,,,,,,
,Alberta,4,15,5/1/2026,68,World,1,,,,,,
,Alice in Wonderland,4,15,5/29/2026,40,Swing,,,,,,,
,All Blues,5,16,7/3/2026,5,Swing,,"plan for bass solo, cymbals @ ending",,,,,
,All the Things You Are,5,17,6/12/2026,26,Swing,,,,,,,
,Also Sprach Zarathustra,4,12,5/22/2026,47,Funk,,,,,,,
,Amphibious,3,9,5/15/2026,54,Funk,,,,,,,
,Angel Eyes,4,14,9/26/2025,285,Swing,,,,,,,
,Au Privave,4,10,2/13/2026,145,Swing,,,,,,,
,Autumn Leaves,5,16,10/17/2025,264,Swing,,,,,,,
,Avalon,3,10,3/20/2026,110,Swing,,accordion,,,,,
,Axel F,4,12,3/27/2026,103,Funk,,,,,,,
,Baby Elephant Walk,3,5,10/17/2025,264,Techno,,,,,,,
,Bad Reputation,3,1,3/17/2023,1209,Pop,,,,,,,
,Beat 70,4,8,12/26/2025,194,Bossa,,,,,,,
,Beautiful Love,4,14,4/10/2026,89,Swing,,,,,,,
,Begin the Beguine,3,6,3/6/2026,124,Bossa,,,fix / lose gtr,,,,
,Bemsha Swing,,3,12/30/2022,1286,Swing,,,,,,,
1,Black Orpheus (Manha de Carnaval),4,14,2/20/2026,138,Bossa,,,,,,,
,Blades,3,11,5/22/2026,47,Downtempo,1,,,,,,
,Blue in Green,4,15,7/3/2026,5,Swing,,, ,,,,
,Bluesette,4,14,4/24/2026,75,Swing,,melodica,,,,,
,Bonita,3,7,4/24/2026,75,Bossa,,,,,,,
,Bossa Antigua,4,9,6/12/2026,26,Bossa,,,,,,,
,Brazil,3,10,3/7/2025,488,Bossa,,melodica,,,,,
,Burbling,3,8,3/6/2026,124,World,1,,,,,,
,Bye Bye Blackbird,4,12,4/24/2026,75,Swing,,,,,,,
,"Camilla (the Old, Old story)",5,17,3/20/2026,110,Downtempo,,,,,,,
,Caminhos Cruzados,3,12,7/3/2026,5,Bossa,,,,,,,
,Cantaloupe Island,4,13,4/17/2026,82,Funk,,missing something,,,,,
,Canto de Osshana,2,9,5/29/2026,40,Samba,,,,,,,
,Caravan,5,18,11/7/2025,243,Swing,,,,,,,
,Cast your Fate to the Wind,4,8,8/16/2024,691,Pop,,,,,,,
,Chameleon,5,17,6/13/2025,390,Funk,,,,,,,
,Chega De Saudade,5,7,11/7/2025,243,Bossa,,,,,,,
,Cissy Strut,4,14,6/5/2026,33,Funk,,try transpose bridge like scofield,,,,,
,Close your Eyes,4,10,2/20/2026,138,Latin,,,,,,,
,Cold Duck Time,4,16,5/8/2026,61,Funk,,,,,,,
,Coming Home,3,13,10/3/2025,278,Pop,,add horn sust comp,,,,,
,Corcovado,3,14,5/1/2026,68,Bossa,,FIX DRUMS not LOOPING!,,,,,
,CQ,,4,11/15/2024,600,Ambient,1,,,,,,
,Days of Wine and Roses,4,11,12/5/2025,215,Swing,,,,,,,
,De Volta Ao Samba,3,10,5/29/2026,40,Bossa,,,,,,,
,Deacon Blues,,6,2/6/2026,152,Pop,,,,,,,
,Desafinado,3,8,3/20/2026,110,Bossa,,,,,,,
,Desde,3,15,6/26/2026,12,Bossa,,,,,,,
,Dindi,4,13,1/23/2026,166,Techno,,,,,,,
,Eleven Twelve,5,16,12/19/2025,201,Funk,1,,,,,,
,Emily,5,13,1/23/2026,166,Swing,,,,,,,
,Estate,3,11,1/30/2026,159,Techno,,,,,,,
,Eu Quero e Sossego,3,9,5/8/2026,61,Bossa,,,,,,,
,Feel like going home,2,8,3/27/2026,103,Pop,,,,,,,
,Feel Like Making Love,,3,7/3/2026,5,Pop,,,,,,,
,Fly me to the Moon,4,15,5/22/2026,47,Swing,fix gtr,,,,,,
,Footprints,4,13,4/24/2026,75,Swing, ,,,,,,
,Forrozinho em Cazadero,3,3,4/10/2026,89,Latin,,,,,,,
,Fotografia,4,15,2/13/2026,145,Bossa,,,,,,,
,Freedom Jazz Dance,3,12,7/3/2026,5,Funk,,"cool intromessy but good, excellent poem",,,,,
,Frog,4,11,2/13/2026,145,Funk,,,,,,,
,Fulani Chant (WFW Isolation Remix),3,3,7/14/2023,1090,Techno,1,,,,,,
,"Gee Baby, Ain’t I Good to You",,6,6/13/2025,390,Swing,,,,,,,
,Gentle Rain,4,13,5/1/2026,68,Bossa,,,,,,,
,Georgia On My Mind,5,9,1/2/2026,187,Ballad,,,,,,,
,Girl from Ipanema,,6,8/1/2025,341,Bossa,,,,,,,
,Girl Talk,3,8,6/5/2026,33,Swing,,,,,,,
,Give me the Night,4,9,10/31/2025,250,Funk,,,,,,,
,God Bless the Child,4,11,10/24/2025,257,Funk,,,,,,,
,Goodbye Look,4,10,2/20/2026,138,Pop,,,,,,,
,Goodbye Pork Pie Hat,4,7,5/22/2026,47,Swing,,,,,,,
,Hearts of Space,3,4,2/10/2023,1244,Downtempo,1,,,,,,
,Here comes the Flood,3,4,4/19/2024,810,Pop,,,,,,,
,Here's that Rainy Day,5,6,10/17/2025,264,Ballad,,,,,,,
1,"Hi Lili, Hi Lo",5,7,9/20/2024,656,Ballad,,,,,,,
,Homagenem,,0,12/30/1899,46211,Bossa,,,,,,,
,How Deep is the Ocean,5,14,3/6/2026,124,Ballad,,,,,,,
,How High the Moon,4,12,12/5/2025,215,Swing,,,,,,,
,How Insensitive,3,13,6/26/2026,12,Bossa,,,,,,,
,I Can't Get Started,3,9,2/20/2026,138,Swing,,,,,,,
,I Love Paris,4,11,1/30/2026,159,Techno,,,,,,,
,I Mean You,4,9,7/25/2025,348,Pop,,,,,,,
,Icarus,4,13,1/9/2026,180,Latin,,,,,,,
,If I were a bell,4,15,3/27/2026,103,Swing,,,,,,,
,If you never come to me,3,3,5/29/2026,40,Latin,,,,,,,
,If you want me to stay,4,11,2/6/2026,152,Funk,,,,,,,
,Impressions,5,16,5/9/2025,425,Techno,,matches classic real book,,,,,
,Inch worm,4,12,1/2/2026,187,Ballad,,,,,,,
,Is you is or is you ain't my baby?,2,2,10/31/2025,250,Pop,,,,,,,
,Isn't It Romantic,4,15,3/13/2026,117,Swing,,,,,,,
,It Don’t Mean a Thing (If It Ain't Got That Swing),3,8,8/1/2025,341,Swing,,,,,,,
,It might as well be spring,4,9,3/13/2026,117,Bossa,,,,,,,
,It's only a Paper Moon,4,8,11/7/2025,243,Swing,,,,,,,
1,Jean Pierre in Egypt,3,11,7/4/2025,369,Funk,,,,,,,
,Just the Two of Us,2,5,1/2/2026,187,Funk,,,,,,,
,Killer Joe,,4,4/17/2026,82,Swing,,,,,,,
,La Fiesta,3,12,2/20/2026,138,Latin,,,,,,,
,Lawns,4,5,2/13/2026,145,Ballad,,,,,,,
,Limehouse Blues,1,5,5/1/2026,68,Swing,,,,,,,
,Little Sunflower,5,18,5/8/2026,61,Techno,,,,,,,
1,Look of Love,4,7,7/25/2025,348,Ballad,,,,,,, 
,Look to the Sky,4,16,4/17/2026,82,Bossa,,add samba gtr,,,,,
,Love Boat,,3,4/10/2026,89,Samba,,,,,,,
,Lovely Day,4,8,3/13/2026,117,Pop,,,,,,,
2,Lovesong,3,2,4/5/2024,824,Pop,,,,,,,
,Lucky Southern,3,10,12/5/2025,215,Pop,,,,,,,
,Lullaby of Birdland,4,11,5/8/2026,61,Swing,,,,,,,
,Mad World,4,8,6/5/2026,33,Pop,,,,,,,
,Maiden Voyage,5,17,7/11/2025,362,Techno,,,,,,,
,Mambo Inn,4,13,1/23/2026,166,Latin,,,,,,,
,Manteca,4,12,3/6/2026,124,Latin,,,,,,,
,Mas Que Nada,3,10,1/30/2026,159,Latin,,,,,,,
,Meditation,3,9,6/5/2026,33,Latin,,,,,,,
,Memories of Tomorrow,3,13,1/2/2026,187,Pop,,,,,,,
,"Mercy, Mercy, Mercy",5,15,6/26/2026,12,Funk,,,,,,,
,Midnight,,11,7/3/2026,5,Techno,,,,,,,
,Minor Swing,3,9,5/29/2026,40,Swing,,fix end head and 1/2 last solo chorus,,,,,
,Mo Better Blues,5,12,6/26/2026,12,Pop,,,,,,,
,Moanin,5,14,3/6/2026,124,Swing,,,,,,,
,Moments in Love,3,1,3/24/2023,1202,Techno,,,,,,,
,Monkey Pants,4,12,6/26/2026,12,Funk,1,,,,,,
,Montara,4,16,10/3/2025,278,Downtempo,,,,,,,
,Morning,4,13,4/17/2026,82,Latin,,,,,,,
,My Favorite Things,3,8,6/12/2026,26,Swing,,,,,,,
,My Funny Valentine,5,15,3/6/2026,124,Swing,,,,,,,
,My Little Suede Shoes,4,17,5/29/2026,40,Bossa,,,,,,,
,My Romance,4,12,5/1/2026,68,Swing,,,,,,,
,Naima,3,16,4/10/2026,89,Downtempo,,,,,,,
,Nana,3,3,2/27/2026,131,Funk,,,,,,,
,Nardis,5,17,3/20/2026,110,Downtempo,,,,,,,
,Nearness of you,,15,2/13/2026,145,Bossa,,,,,,,
,New Day LoFi,4,10,2/6/2026,152,Downtempo,1,,,,,,
,New Phone Who Dis,3,10,11/21/2025,229,Downtempo,1,,,,,,
,Newsky Bluesky,3,11,5/1/2026,68,Downtempo,,,,,,,
,Night and Day,4,14,6/12/2026,26,Techno,,,,,,,
,Night in Tunisia,,15,6/26/2026,12,Downtempo,,,,,,,
,Nightingale Sang in Berkeley Square,4,8,2/27/2026,131,Ballad,,,,,,,
,O Barquinho,,12,3/27/2026,103,Bossa,,,,,,,
,O Cantador (Like a Lover),5,13,1/30/2026,159,Bossa,,,,,,,
,On Broadway,,1,9/18/2020,2119,Pop,,,,,,,
,Once I Loved,3,6,6/12/2026,26,Bossa,,,,,,,
,Our Spanish Love Song,3,3,12/26/2025,194,Latin,,,,,,,
1,Over the Rainbow,4,9,3/28/2025,467,Ballad,,,,,,,
,Pentafunkular 5opolis,2,6,2/6/2026,152,Funk,,REDO slower?HOF,,,,,
,People Get Ready,2,4,7/3/2026,5,Pop,,,,,,,
,Pick up the Pieces,,13,1/2/2026,187,Funk,,,,,,,
,Pocket Calculator,4,13,5/22/2026,47,Techno,,,,,,,
,Poinciana,4,17,2/20/2026,138,Techno,,,,,,,
,Quin's Closer,5,5,1/19/2024,901,Ambient,,,,,,,
,Rise,4,11,4/10/2026,89,Funk,,,,,,,
,River Man,5,7,10/17/2025,264,Pop,,,,,,,
,Road Song,5,13,4/10/2026,89,Pop,,,,,,,
,Root Down (And Get It),4,10,4/24/2026,75,Funk,,,,,,,
,Saga of Harrison Crabfeathers,5,11,4/24/2026,75,Swing,,,,,,,
,Samba de Orfeu,4,18,5/22/2026,47,Samba,,add solo break,,,,,
 ,Samba e Amor,3,15,3/27/2026,103,Samba,,,,,,,
 ,Scottish Lament,3,6,10/31/2025,250,Downtempo,1,,,,,,
,Scrapple from the Apple,3,4,5/15/2026,54,Swing,,,,,,,
,September,2,3,8/29/2025,313,Funk,,,,,,,
,Septimus Prime,3,13,4/17/2026,82,Funk,,,,,,,
,Sermonette,3,3,1/9/2026,180,Swing,,,,,,,
,Seven Steps to Heaven,4,8,11/7/2025,243,Pop,,,,,,,
,Simplismente,2,7,9/20/2024,656,Techno,,buildup loop is LAME; try singing; fills before transitions,,,,,
,Sing Sing Sing,3,8,2/14/2025,509,Pop,,,,,,,
,Sister Sadie,4,8,5/1/2026,68,Swing,,,,,,,
,So Danco Samba,,12,7/3/2026,5,Samba,,,,,,,
,So Nice,4,13,5/22/2026,47,Bossa,,,,,,,
,So What,5,14,1/23/2026,166,Swing,,,,,,,
,Softly as in a morning Sunrise,5,14,10/3/2025,278,Techno,,,,,,,
,Solsbury Hill,,4,1/2/2026,187,Pop,,,,,,,
,Some Day My Prince will Come,,9,2/6/2026,152,Swing,,,,,,,
,Some other funk,3,12,12/5/2025,215,Funk,1,,,,,,
1,Some other time,,2,8/8/2025,334,Ballad,,,,,,,
,Song for my Father,4,10,1/9/2026,180,Latin,,fix head parts (line up),,,,,
,Soul Sauce,3,8,3/13/2026,117,Latin,,,,,,,
,St. Thomas,3,12,2/27/2026,131,Latin,,,,,,,
,Stars Fell on Alabama,,12,10/17/2025,264,Swing,,,,,,,
,Stella by Starlight,,12,1/2/2026,187,Swing,,,,,,,
,Stolen Moments,5,15,4/10/2026,89,Swing,,,,,,,
1,Sugar,4,12,11/28/2025,222,Swing,,,,,,,
,Summertime,4,12,2/13/2026,145,Funk,,,,,,,
,Sunny,4,15,4/24/2026,75,Funk,,replace flute w/ horn?,,,,,
,Swim Shebang,5,15,3/13/2026,117,Funk,1,,,,,,
,Take Five (King Tubby),3,10,1/9/2026,180,Downtempo,,,,,,,
,Take Me to the River,3,4,5/15/2026,54,Pop,,,,,,,
,Ternura,4,6,8/22/2025,320,Latin,,,,,,,
,The Chicken,4,14,1/23/2026,166,Funk,,add horns,,,,,
,The Egg and You,5,14,11/21/2025,229,Pop,,,,,,,
,The touch of your lips,4,11,6/5/2026,33,Swing,,,,,,,
,Them Funky Changes,4,11,12/26/2025,194,Funk,,,,,,,
,There will never be another you,5,15,10/31/2025,250,Swing,,,,,,,
,These Foolish Things Remind me of You,4,11,6/26/2026,12,Ballad,,,,,,,
,They Can't Take That Away from Me,4,9,6/12/2026,26,Swing,,,,,,,
,This can't be Love,4,13,4/17/2026,82,Swing,,,,,,,
,This Masquerade,4,12,6/12/2026,26,Funk,,,,,,,
,Time After Time,5,6,3/14/2025,481,Pop,,,,,,,
,Time Remembered,5,12,2/27/2026,131,Swing,,,,,,,
,Trans Europe Express,4,10,5/1/2026,68,Techno,,automate more parts,,,,,
,Triste,3,11,5/15/2026,54,Bossa,,,,,,,
,TSOP,4,5,10/10/2025,271,Funk,,,,,,,
,Umbrella,,6,8/29/2025,313,Pop,,,,,,,
,Up Jumped Spring,3,6,5/15/2026,54,Swing,,,,,,,
,Very Early,4,13,3/20/2026,110,Swing,,,,,,,
,Viva La Money,3,4,6/5/2026,33,Funk,,,,,,,
,Watermelon Man,4,13,3/27/2026,103,Latin,,,,,,,
,Waters of March,2,9,6/5/2026,33,Bossa,,,,,,,
,Well You Needn’t,3,12,3/6/2026,124,Reggae,,,,,,,
,What is this Thing called Love,,14,5/29/2026,40,Swing,,,,,,,
1,What'll I do?,4,3,9/5/2025,306,Ballad,,,,,,,
,When I Fall in Love,,8,3/20/2026,110,Ballad,,,,,,,
,With or Without You,,5,4/5/2024,824,Pop,,,,,,,
,Won't you be my Neighbor?,4,4,11/28/2025,222,Swing,,,,,,,
1,You and the Night and the Music,3,7,9/19/2025,292,Ballad,,,,,,,
,Zero-Nineteen,3,13,3/20/2026,110,Techno,1,,,,,,